[2026-03-20T14:45:44.776Z] RX /playmode | i:0
[2026-03-20T14:45:44.777Z] RX /playmodeaway | i:0
[2026-03-20T14:45:44.777Z] RX /speed | f:0.25
[2026-03-20T14:45:44.777Z] RX /speed | f:0.25
[2026-03-20T14:45:44.777Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.777Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.777Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.777Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.778Z] RX /opacity | f:0.5
[2026-03-20T14:45:44.778Z] RX /opacity | f:0.5
[2026-03-20T14:45:44.779Z] RX /connected | i:0
[2026-03-20T14:45:44.780Z] RX /connected | i:0
[2026-03-20T14:45:44.780Z] RX /connected | i:0
[2026-03-20T14:45:44.781Z] RX /connected | i:0
[2026-03-20T14:45:44.781Z] RX /connected | i:0
[2026-03-20T14:45:44.781Z] RX /connected | i:0
[2026-03-20T14:45:44.781Z] RX /connected | i:0
[2026-03-20T14:45:44.781Z] RX /connected | i:0
[2026-03-20T14:45:44.781Z] RX /connected | i:0
[2026-03-20T14:45:44.800Z] RX /composition/master | f:1
[2026-03-20T14:45:44.800Z] RX /composition/speed | f:0.25
[2026-03-20T14:45:44.800Z] RX /volume | f:1
[2026-03-20T14:45:44.801Z] RX /pan | f:0.5
[2026-03-20T14:45:44.801Z] RX /master | f:1
[2026-03-20T14:45:44.801Z] RX /volume | f:1
[2026-03-20T14:45:44.801Z] RX /pan | f:0.5
[2026-03-20T14:45:44.801Z] RX /master | f:1
[2026-03-20T14:45:44.802Z] RX /volume | f:1
[2026-03-20T14:45:44.802Z] RX /pan | f:0.5
[2026-03-20T14:45:44.802Z] RX /master | f:1
[2026-03-20T14:45:44.802Z] RX /preview/audio/volume | f:1
[2026-03-20T14:45:44.802Z] RX /preview/audio/pan | f:0.5
[2026-03-20T14:45:44.821Z] RX /composition/video/mixer/blendmode | i:0
[2026-03-20T14:45:44.821Z] RX /composition/layers/3/video/mixer/blendmode | i:12
[2026-03-20T14:45:44.821Z] RX /composition/crossfader/video/mixer/blendmode | i:13
[2026-03-20T14:45:44.822Z] RX /composition/crossfader/video/mixer/blendmode | i:2
[2026-03-20T14:45:44.822Z] RX /composition/layers/1/video/mixer/blendmode | i:12
[2026-03-20T14:45:44.822Z] RX /composition/selectedlayer/video/mixer/blendmode | i:12
[2026-03-20T14:45:44.822Z] RX /composition/layers/1/video/transition/mixer/blendmode | i:2
[2026-03-20T14:45:44.822Z] RX /composition/selectedlayer/video/transition/mixer/blendmode | i:2
[2026-03-20T14:45:44.822Z] RX /composition/layers/2/video/mixer/blendmode | i:12
[2026-03-20T14:45:44.822Z] RX /composition/layers/2/video/transition/mixer/blendmode | i:2
[2026-03-20T14:45:44.823Z] RX /composition/layers/3/video/transition/mixer/blendmode | i:2
[2026-03-20T14:45:45.007Z] RX /composition/video/mixer/blendmode | i:0
[2026-03-20T14:45:45.007Z] RX /composition/layers/3/video/mixer/blendmode | i:12
[2026-03-20T14:45:45.007Z] RX /composition/crossfader/video/mixer/blendmode | i:13
[2026-03-20T14:45:45.008Z] RX /composition/crossfader/video/mixer/blendmode | i:2
[2026-03-20T14:45:45.008Z] RX /composition/layers/1/video/mixer/blendmode | i:12
[2026-03-20T14:45:45.008Z] RX /composition/selectedlayer/video/mixer/blendmode | i:12
[2026-03-20T14:45:45.008Z] RX /composition/layers/1/video/transition/mixer/blendmode | i:2
[2026-03-20T14:45:45.008Z] RX /composition/selectedlayer/video/transition/mixer/blendmode | i:2
[2026-03-20T14:45:45.009Z] RX /composition/layers/2/video/mixer/blendmode | i:12
[2026-03-20T14:45:45.009Z] RX /composition/layers/2/video/transition/mixer/blendmode | i:2
[2026-03-20T14:45:45.009Z] RX /composition/layers/3/video/transition/mixer/blendmode | i:2
[2026-03-20T14:45:45.089Z] RX /composition/decks/1/selected | i:1
[2026-03-20T14:45:45.089Z] RX /composition/layers/1/selected | i:1
[2026-03-20T14:45:45.090Z] RX /composition/selectedlayer/selected | i:1
[2026-03-20T14:45:45.090Z] RX /composition/columns/1/selected | i:1
[2026-03-20T14:45:45.090Z] RX /composition/layers/1/clips/1/selected | i:1
[2026-03-20T14:45:45.130Z] RX /composition/recorder/durationseconds/in/in | f:0
[2026-03-20T14:45:45.130Z] RX /composition/recorder/durationseconds/out/out | f:1
[2026-03-20T14:45:45.131Z] RX /composition/recorder/durationbeats/in/in | f:0
[2026-03-20T14:45:45.131Z] RX /composition/recorder/durationbeats/out/out | f:1
[2026-03-20T14:45:45.131Z] RX /composition/recorder/armseconds/in/in | f:0
[2026-03-20T14:45:45.131Z] RX /composition/recorder/armseconds/out/out | f:1
